#;Gemeinde;Bezirk / Statutarstadt;Einwohner 2013;Anlagen;Leistung [kW];[Watt/EW]
356;Puchberg am Schneeberg;Neunkirchen;2.655;21; 102,50 ;38,61
357;Pulkau;Hollabrunn;1.560;37; 197,78 ;126,78
358;Purgstall an der Erlauf;Scheibbs;5.358;146; 1.196,91 ;223,39
359;Purkersdorf;Wien Umgebung;9.317;29; 126,97 ;13,63
360;Pyhra;St. Pölten-Land;3.384;52; 427,10 ;126,21
361;Raabs an der Thaya;Waidhofen a.d. Thaya;2.729;68; 797,16 ;292,11
362;Raach am Hochgebirge;Neunkirchen;297;7; 61,33 ;206,5
363;Rabensburg;Mistelbach;1.108;8; 39,72 ;35,85
364;Rabenstein an der Pielach;St. Pölten-Land;2.432;29; 174,69 ;71,83
365;Ramsau;Lilienfeld;864;6; 51,55 ;59,66
366;Randegg;Scheibbs;1.908;35; 240,24 ;125,91
367;Rappottenstein;Zwettl;1.726;54; 1.650,78 ;956,42
368;Rastenfeld;Krems-Land;1.418;56; 299,70 ;211,35
369;Rauchenwarth;Wien Umgebung;667;16; 70,79 ;106,13
370;Ravelsbach;Hollabrunn;1.639;28; 174,76 ;106,63
371;Raxendorf;Melk;1.047;18; 118,41 ;113,09
372;Reichenau an der Rax;Neunkirchen;2.613;16; 78,30 ;29,97
373;Reingers;Gmünd;673;16; 93,21 ;138,5
374;Reinsberg;Scheibbs;1.006;11; 66,28 ;65,88
375;Reisenberg;Baden;1.595;13; 81,63 ;51,18
376;Retz;Hollabrunn;4.135;58; 294,08 ;71,12
377;Ringelsdorf-Niederabsdorf;Gänserndorf;1.297;9; 49,14 ;37,89
378;Rohr im Gebirge;Wr. Neustadt-Land;469;9; 53,92 ;114,97
379;Rohrau;Bruck;1.534;20; 122,05 ;79,56
380;Rohrbach an der Gölsen;Lilienfeld;1.683;20; 102,29 ;60,78
381;Röhrenbach;Horn;575;41; 360,42 ;626,82
382;Rohrendorf bei Krems;Krems-Land;2.007;57; 265,64 ;132,36
383;Röschitz;Horn;1.017;18; 82,68 ;81,3
384;Rosenburg-Mold;Horn;825;33; 177,87 ;215,6
385;Rossatz-Arnsdorf;Krems-Land;1.052;24; 159,80 ;151,9
386;Ruprechtshofen;Melk;2.261;68; 587,58 ;259,88
387;Rußbach;Korneuburg;1.374;30; 162,32 ;118,14
388;Sallingberg;Zwettl;1.349;34; 186,72 ;138,41
389;Sankt Aegyd am Neuwalde;Lilienfeld;2.017;17; 155,48 ;77,08
390;Sankt Andrä-Wördern;Tulln;7.568;75; 365,52 ;48,3
391;Sankt Anton an der Jeßnitz;Scheibbs;1.242;19; 107,67 ;86,69
392;Sankt Bernhard-Frauenhofen;Horn;1.251;53; 390,82 ;312,41
393;Sankt Corona am Wechsel;Neunkirchen;376;6; 33,30 ;88,56
394;Sankt Egyden am Steinfeld;Neunkirchen;1.901;20; 93,32 ;49,09
395;Sankt Georgen am Reith;Amstetten;576;10; 94,47 ;164,01
396;Sankt Georgen am Ybbsfelde;Amstetten;2.787;46; 299,91 ;107,61
397;Sankt Georgen an der Leys;Scheibbs;1.329;31; 216,74 ;163,09
